headline,category,date,link
"COVID antibodies drop over time, but that’s alright",Technology,28-Oct-20,https://knappily.com/technology/covid-antibodies-drop-over-time-but-thats-alright-727
NASA and asteroid Bennu: the problem of plenty,Technology,26-Oct-20,https://knappily.com/technology/nasa-and-asteroid-bennu-the-problem-of-plenty-121
Neanderthals became ‘feminine’ by mating with humans,Technology,21-Oct-20,https://knappily.com/technology/neanderthals-became-feminine-by-mating-with-humans-364
Coronavirus can survive for 28 days in cold and dark,Technology,12-Oct-20,https://knappily.com/technology/coronavirus-can-survive-for-28-days-in-cold-and-dark-541
The speed limit of sound has been found,Technology,10-Oct-20,https://knappily.com/technology/the-speed-limit-of-sound-has-been-found-927
Gene editing pioneers win the Chemistry Nobel,Technology,07-Oct-20,https://knappily.com/technology/gene-editing-pioneers-win-the-chemistry-nobel-886
Black Hole hunters win Nobel Prize in Physics,Technology,06-Oct-20,https://knappily.com/technology/black-hole-hunters-win-nobel-prize-in-physics-804
Hepatitis C virus hunters win Nobel Prize in Medicine,Technology,05-Oct-20,https://knappily.com/technology/hepatitis-c-virus-hunters-win-nobel-prize-in-medicine-414
No place for nuclear waste in Germany,Technology,04-Oct-20,https://knappily.com/technology/no-place-for-nuclear-waste-in-germany-642
Timothy Ray Brown: the ‘Berlin patient’ who conquered HIV,Technology,01-Oct-20,https://knappily.com/technology/timothy-ray-brown-the-berlin-patient-who-conquered-hiv-885
Children can fight coronavirus better,Technology,26-Sep-20,https://knappily.com/technology/children-can-fight-coronavirus-better-381
Coronavirus may have a dominant mutant strain,Technology,24-Sep-20,https://knappily.com/technology/coronavirus-may-have-a-dominant-mutant-strain-685
Vaccine: arriving in November…or Never?,Technology,22-Sep-20,https://knappily.com/technology/vaccine-arriving-in-novemberor-never-946
Are they on Venus?,Technology,15-Sep-20,https://knappily.com/technology/are-they-on-venus-311
Facultative parthenogenesis: the strange world of virgin births,Technology,12-Sep-20,https://knappily.com/technology/facultative-parthenogenesis-the-strange-world-of-virgin-births-934
Are we inside a Matrioshka Brain?,Technology,09-Sep-20,https://knappily.com/technology/are-we-inside-a-matrioshka-brain-579
Waiting for a supernova,Technology,05-Sep-20,https://knappily.com/technology/waiting-for-a-supernova-317
GW190521: An impossible black hole,Technology,03-Sep-20,https://knappily.com/technology/gw190521-an-impossible-black-hole-939
The curious hacking of the Prime Minister's Twitter account,Technology,03-Sep-20,https://knappily.com/technology/the-curious-hacking-of-the-prime-ministers-twitter-account-670
Trump may be considering herd immunity,Technology,01-Sep-20,https://knappily.com/technology/trump-may-be-considering-herd-immunity-650
Neuralink: three little pigs and a big idea,Technology,31-Aug-20,https://knappily.com/technology/neuralink-three-little-pigs-and-a-big-idea-493
Leading coronavirus vaccines face stumbling blocks,Technology,28-Aug-20,https://knappily.com/technology/leading-coronavirus-vaccines-face-stumbling-blocks-152
Genetically Modified Mosquitoes: a lot can go wrong,Technology,24-Aug-20,https://knappily.com/technology/genetically-modified-mosquitoes-a-lot-can-go-wrong-786
A strange dent in Earth’s magnetic field,Technology,20-Aug-20,https://knappily.com/technology/a-strange-dent-in-earths-magnetic-field-635
Coronavirus: what is the best treatment?,Technology,18-Aug-20,https://knappily.com/technology/coronavirus-what-is-the-best-treatment-705
Russia declares victory in the vaccine race,Technology,11-Aug-20,https://knappily.com/technology/russia-declares-victory-in-the-vaccine-race-524
The inevitable racism of Predictive Policing,Technology,09-Aug-20,https://knappily.com/technology/the-inevitable-racism-of-predictive-policing-146
Quantum Information Science: the next technological revolution,Technology,06-Aug-20,https://knappily.com/technology/quantum-information-science-the-next-technological-revolution-144
ITER: replicating the sun’s power on earth,Technology,04-Aug-20,https://knappily.com/technology/iter-replicating-the-suns-power-on-earth-597
Coronavirus: searching for a silver bullet,Technology,03-Aug-20,https://knappily.com/technology/coronavirus-searching-for-a-silver-bullet-489
SpaceX brings NASA astronauts back home,Technology,03-Aug-20,https://knappily.com/technology/spacex-brings-nasa-astronauts-back-home-353
Big Tech is prospering in the pandemic,Technology,01-Aug-20,https://knappily.com/technology/big-tech-is-prospering-in-the-pandemic-874
Moderna and Pfizer begin Phase 3 trials,Technology,28-Jul-20,https://knappily.com/technology/moderna-and-pfizer-begin-phase-3-trials-877
China launches its ambitious Mars mission,Technology,23-Jul-20,https://knappily.com/technology/china-launches-its-ambitious-mars-mission-667
Oxford now leads the vaccine race,Technology,21-Jul-20,https://knappily.com/technology/oxford-now-leads-the-vaccine-race-425
Al Amal: Arab world’s first interplanetary mission,Technology,20-Jul-20,https://knappily.com/technology/al-amal-arab-worlds-first-interplanetary-mission-849
The unbearable chaos of coronavirus vaccine,Technology,18-Jul-20,https://knappily.com/technology/the-unbearable-chaos-of-coronavirus-vaccine-316
The stunning hack of Twitter is a wakeup call,Technology,16-Jul-20,https://knappily.com/technology/the-stunning-hack-of-twitter-is-a-wakeup-call-813
Plasma shot: the next best thing to a coronavirus vaccine,Technology,11-Jul-20,https://knappily.com/technology/plasma-shot-the-next-best-thing-to-a-coronavirus-vaccine-692
Is the virus airborne?,Technology,06-Jul-20,https://knappily.com/technology/is-the-virus-airborne-229
Voyager: the time capsules from Earth,Technology,06-Jul-20,https://knappily.com/technology/voyager-the-time-capsules-from-earth-117
Quantum Supremacy: the qubits are heating up,Technology,29-Jun-20,https://knappily.com/technology/quantum-supremacy-the-qubits-are-heating-up-415
A rare ‘Ring of Fire’ solar eclipse,Technology,21-Jun-20,https://knappily.com/technology/a-rare-ring-of-fire-solar-eclipse-676
"In China, Big Brother is always watching you",Technology,20-Jun-20,https://knappily.com/technology/in-china-big-brother-is-always-watching-you-178
Dexamethasone: the first corona savior?,Technology,16-Jun-20,https://knappily.com/technology/dexamethasone-the-first-corona-savior-574
Coronavirus: the debate around the D614G mutation,Technology,13-Jun-20,https://knappily.com/technology/coronavirus-the-debate-around-the-d614g-mutation-780
"But, seriously, where is everybody?",Technology,09-Jun-20,https://knappily.com/technology/but-seriously-where-is-everybody-292
COVID vaccine: America’s Moderna vs. China’s Sinovac,Technology,03-Jun-20,https://knappily.com/technology/covid-vaccine-americas-moderna-vs-chinas-sinovac-288
SpaceX makes history by launching NASA astronauts,Technology,31-May-20,https://knappily.com/technology/spacex-makes-history-by-launching-nasa-astronauts-143
Universe: the missing ordinary matter has been found,Technology,28-May-20,https://knappily.com/technology/universe-the-missing-ordinary-matter-has-been-found-111
WHO suspends Hydroxychloroquine trials,Technology,26-May-20,https://knappily.com/technology/who-suspends-hydroxychloroquine-trials-263
Multiverse: one universe is not enough,Technology,26-May-20,https://knappily.com/technology/multiverse-one-universe-is-not-enough-184
Artificial Eye: it can now see like a human,Technology,25-May-20,https://knappily.com/technology/artificial-eye-it-can-now-see-like-a-human-119
DNA: the inevitable future of data storage,Technology,24-May-20,https://knappily.com/technology/dna-the-inevitable-future-of-data-storage-409
COVID-19 vs. Vitamin D,Technology,21-May-20,https://knappily.com/technology/covid-19-vs-vitamin-d-640
Coronavirus vaccine: Oxford vs. Moderna,Technology,19-May-20,https://knappily.com/technology/coronavirus-vaccine-oxford-vs-moderna-860
X-37B: The Space Force's plane of mystery,Technology,18-May-20,https://knappily.com/technology/x-37b-the-space-forces-plane-of-mystery-122
Operation Warp Speed: for a vaccine in 2020,Technology,16-May-20,https://knappily.com/technology/operation-warp-speed-for-a-vaccine-in-2020-516
Coronavirus: the unusual symptoms,Technology,13-May-20,https://knappily.com/technology/coronavirus-the-unusual-symptoms-919
Coronavirus vaccine: the race is on,Technology,12-May-20,https://knappily.com/technology/coronavirus-vaccine-the-race-is-on-573
Biohackers: the ‘connoisseurs’ of science,Technology,11-May-20,https://knappily.com/technology/biohackers-the-connoisseurs-of-science-554
HR 6819: Earth’s closest Black Hole,Technology,09-May-20,https://knappily.com/technology/hr-6819-earths-closest-black-hole-455
Can the Llama help us end this pandemic?,Technology,06-May-20,https://knappily.com/technology/can-the-llama-help-us-end-this-pandemic-642
Coronavirus: back to the beginning,Technology,06-May-20,https://knappily.com/technology/coronavirus-back-to-the-beginning-872
Vertical Farms: reaching new heights,Technology,05-May-20,https://knappily.com/technology/vertical-farms-reaching-new-heights-405
Remdisivir: nothing clear-cut about it,Technology,30-Apr-20,https://knappily.com/technology/remdisivir-nothing-clear-cut-about-it-508
Coronavirus: immunity is an illusion?,Technology,25-Apr-20,https://knappily.com/technology/coronavirus-immunity-is-an-illusion-657
Coronavirus: UK and Germany begin vaccine trials,Technology,23-Apr-20,https://knappily.com/technology/coronavirus-uk-and-germany-begin-vaccine-trials-998
Zoom and bust,Technology,23-Apr-20,https://knappily.com/technology/zoom-and-bust-382
NASA wants bits of Mars on Earth,Technology,20-Apr-20,https://knappily.com/technology/nasa-wants-bits-of-mars-on-earth-964
The unreliability of rapid antibody tests,Technology,15-Apr-20,https://knappily.com/technology/the-unreliability-of-rapid-antibody-tests-615
Coronavirus: Why does it hate men more?,Technology,12-Apr-20,https://knappily.com/technology/coronavirus-why-does-it-hate-men-more-421
Google and Apple will trace the virus together,Technology,11-Apr-20,https://knappily.com/technology/google-and-apple-will-trace-the-virus-together-907
Hydroxychloroquine is not the magic pill,Technology,07-Apr-20,https://knappily.com/technology/hydroxychloroquine-is-not-the-magic-pill-436
Mask: to wear or not to wear?,Technology,31-Mar-20,https://knappily.com/technology/mask-to-wear-or-not-to-wear-122
Does the coronavirus strike twice?,Technology,30-Mar-20,https://knappily.com/technology/does-the-coronavirus-strike-twice-433
Ventilator: it stands between life and death,Technology,28-Mar-20,https://knappily.com/technology/ventilator-it-stands-between-life-and-death-927
Coronavirus: science must rise now,Technology,23-Mar-20,https://knappily.com/technology/coronavirus-science-must-rise-now-406
Ryugu begins to reveal itself,Technology,18-Mar-20,https://knappily.com/technology/ryugu-begins-to-reveal-itself-960
Coronavirus: track them like Israel,Technology,18-Mar-20,https://knappily.com/technology/coronavirus-track-them-like-israel-315
